Issue,Red1,Red2,Red3,Red4,Red5,Red6,Blue balls
0.1684,0.075,0.1,0.425,0.45,0.525,0.775,0.2
0.1688,0.025,0.3,0.55,0.575,0.6,0.625,0.35
0.1692,0.125,0.25,0.375,0.425,0.675,0.725,0.275
0.1696,0.125,0.375,0.475,0.575,0.75,0.8,0.35
0.17,0.125,0.325,0.425,0.475,0.625,0.75,0.275
0.1704,0.45,0.55,0.575,0.6,0.65,0.75,0.025
0.1708,0.1,0.125,0.375,0.525,0.575,0.6,0.2
0.1712,0.075,0.3,0.35,0.525,0.6,0.7,0.275
0.1716,0.1,0.2,0.425,0.7,0.725,0.75,0.325
0.172,0.15,0.2,0.275,0.45,0.75,0.825,0.125
0.1724,0.175,0.2,0.275,0.4,0.425,0.6,0.325
0.1728,0.075,0.175,0.25,0.35,0.75,0.825,0.25
0.1732,0.125,0.4,0.5,0.55,0.725,0.75,0.2
0.1736,0.05,0.075,0.275,0.325,0.5,0.675,0.05
0.174,0.125,0.275,0.3,0.475,0.725,0.775,0.025
0.1744,0.05,0.075,0.125,0.5,0.525,0.6,0.2
0.1748,0.125,0.325,0.4,0.45,0.675,0.725,0.3
0.1752,0.025,0.075,0.375,0.475,0.625,0.825,0.1
0.1756,0.25,0.525,0.55,0.575,0.625,0.825,0.275
0.176,0.1,0.25,0.425,0.525,0.725,0.8,0.35
0.1764,0.2,0.225,0.3,0.325,0.475,0.825,0.225
0.1768,0.075,0.125,0.425,0.55,0.775,0.825,0.3
0.1772,0.15,0.275,0.325,0.425,0.5,0.8,0.2
0.1776,0.375,0.425,0.5,0.55,0.65,0.725,0.225
0.178,0.35,0.4,0.45,0.525,0.55,0.8,0.1
0.1784,0.075,0.325,0.375,0.575,0.7,0.725,0.225
0.1788,0.175,0.225,0.45,0.475,0.65,0.725,0.25
0.1792,0.025,0.3,0.425,0.525,0.625,0.7,0.3
0.1796,0.05,0.15,0.45,0.525,0.6,0.625,0.2
0.18,0.1,0.15,0.25,0.6,0.65,0.775,0.15
0.1804,0.1,0.125,0.2,0.225,0.3,0.75,0.125
0.1808,0.075,0.275,0.5,0.6,0.625,0.65,0.025
0.1812,0.025,0.325,0.4,0.45,0.475,0.55,0.025
0.1816,0.05,0.275,0.375,0.5,0.575,0.725,0.275
0.182,0.175,0.2,0.3,0.525,0.55,0.6,0.175
0.1824,0.05,0.2,0.275,0.4,0.5,0.525,0.35
0.1828,0.05,0.3,0.4,0.45,0.475,0.575,0.125
0.1832,0.375,0.4,0.425,0.45,0.6,0.825,0.325
0.1836,0.025,0.075,0.425,0.5,0.525,0.725,0.4
0.184,0.025,0.125,0.225,0.325,0.45,0.825,0.35
0.1844,0.275,0.35,0.375,0.5,0.65,0.675,0.3
0.1848,0.15,0.175,0.25,0.275,0.45,0.575,0.4
0.1852,0.225,0.3,0.45,0.575,0.6,0.675,0.125
0.1856,0.025,0.275,0.45,0.65,0.75,0.8,0.075
0.186,0.225,0.3,0.5,0.65,0.675,0.7,0.4
0.1864,0.025,0.1,0.325,0.475,0.5,0.6,0.275
0.1868,0.3,0.35,0.375,0.625,0.7,0.775,0.15
0.1872,0.075,0.175,0.55,0.675,0.7,0.775,0.275
0.1876,0.125,0.3,0.35,0.375,0.5,0.775,0.025
0.188,0.05,0.3,0.35,0.475,0.7,0.825,0.25
0.1884,0.025,0.15,0.2,0.325,0.425,0.75,0.175
0.1888,0.05,0.15,0.2,0.5,0.6,0.75,0.225
0.1892,0.025,0.125,0.425,0.45,0.575,0.65,0.325
0.1896,0.225,0.3,0.35,0.45,0.675,0.825,0.325
0.19,0.025,0.2,0.275,0.4,0.425,0.55,0.375
0.1904,0.1,0.225,0.325,0.375,0.775,0.825,0.275
0.1908,0.125,0.35,0.425,0.45,0.7,0.825,0.05
0.1912,0.2,0.25,0.35,0.5,0.675,0.725,0.4
0.1916,0.025,0.25,0.5,0.65,0.7,0.725,0.375
0.192,0.125,0.4,0.525,0.55,0.8,0.825,0.225
0.1924,0.15,0.35,0.5,0.55,0.575,0.65,0.225
0.1928,0.025,0.075,0.175,0.2,0.25,0.75,0.125
0.1932,0.025,0.05,0.35,0.5,0.675,0.75,0.05
0.1936,0.15,0.2,0.35,0.375,0.6,0.825,0.225
0.194,0.075,0.1,0.15,0.675,0.775,0.825,0.15
0.1944,0.1,0.125,0.15,0.2,0.55,0.6,0.075
0.1948,0.05,0.075,0.5,0.625,0.7,0.8,0.15
0.1952,0.3,0.325,0.35,0.45,0.775,0.8,0.325
0.1956,0.375,0.475,0.575,0.75,0.8,0.825,0.15
0.196,0.05,0.2,0.325,0.4,0.6,0.825,0.225
0.1964,0.075,0.1,0.275,0.425,0.475,0.75,0.025
0.1968,0.1,0.375,0.525,0.75,0.775,0.825,0.125
0.1972,0.225,0.35,0.45,0.55,0.675,0.725,0.3
0.1976,0.025,0.3,0.525,0.55,0.75,0.8,0.05
0.198,0.075,0.1,0.225,0.55,0.65,0.825,0.025
0.1984,0.15,0.35,0.55,0.65,0.75,0.825,0.025
0.1988,0.1,0.15,0.5,0.625,0.725,0.775,0.075
0.1992,0.25,0.325,0.45,0.65,0.7,0.75,0.3
0.1996,0.1,0.475,0.525,0.55,0.575,0.775,0.1
0.2,0.275,0.375,0.425,0.525,0.55,0.6,0.125
0.2004,0.25,0.35,0.425,0.525,0.675,0.775,0.225
0.2008,0.1,0.225,0.275,0.425,0.45,0.65,0.2
0.2012,0.175,0.2,0.35,0.525,0.575,0.625,0.125
0.2016,0.025,0.2,0.275,0.45,0.475,0.575,0.125
0.202,0.4,0.45,0.55,0.575,0.625,0.775,0.275
0.2024,0.25,0.4,0.475,0.55,0.65,0.675,0.4
0.2028,0.025,0.375,0.5,0.725,0.775,0.8,0.2
0.2032,0.1,0.25,0.325,0.4,0.55,0.725,0.15
0.2036,0.05,0.175,0.575,0.65,0.7,0.775,0.175
0.204,0.075,0.225,0.325,0.575,0.7,0.75,0.125
0.2044,0.025,0.1,0.375,0.425,0.675,0.775,0.025
0.2048,0.1,0.2,0.3,0.325,0.575,0.725,0.025
0.2052,0.05,0.075,0.125,0.275,0.375,0.8,0.375
0.2056,0.2,0.225,0.3,0.45,0.625,0.675,0.3
0.206,0.025,0.075,0.1,0.15,0.4,0.55,0.2
0.2064,0.025,0.35,0.5,0.625,0.675,0.775,0.375
0.2068,0.025,0.175,0.275,0.5,0.75,0.825,0.25
0.2072,0.175,0.35,0.45,0.5,0.75,0.825,0.325
0.2076,0.05,0.1,0.225,0.25,0.5,0.65,0.35
0.208,0.125,0.15,0.35,0.5,0.525,0.55,0.025
0.2084,0.125,0.225,0.275,0.3,0.55,0.675,0.375
0.2088,0.075,0.175,0.25,0.325,0.625,0.825,0.25
0.2092,0.025,0.125,0.15,0.4,0.6,0.75,0.3
0.2096,0.15,0.25,0.35,0.55,0.65,0.675,0.275
0.21,0.1,0.3,0.375,0.425,0.55,0.8,0.35
0.2104,0.025,0.1,0.125,0.45,0.475,0.625,0.25
0.2108,0.05,0.1,0.35,0.375,0.625,0.675,0.375
0.2112,0.075,0.2,0.35,0.425,0.75,0.8,0.125
0.2116,0.075,0.25,0.375,0.625,0.7,0.825,0.4
0.212,0.075,0.125,0.175,0.525,0.65,0.7,0.1
0.2124,0.125,0.375,0.45,0.675,0.725,0.8,0.125
0.2128,0.025,0.325,0.4,0.5,0.6,0.65,0.225
0.2132,0.075,0.1,0.2,0.45,0.55,0.75,0.375
0.2136,0.025,0.45,0.5,0.55,0.65,0.825,0.125
0.214,0.125,0.225,0.25,0.6,0.625,0.8,0.35
0.2144,0.025,0.3,0.45,0.5,0.525,0.65,0.275
0.2148,0.1,0.275,0.4,0.575,0.725,0.775,0.35
0.2152,0.125,0.25,0.4,0.5,0.7,0.775,0.35
0.2156,0.075,0.15,0.225,0.275,0.625,0.775,0.325
0.216,0.05,0.1,0.175,0.25,0.45,0.675,0.25
0.2164,0.075,0.175,0.325,0.425,0.8,0.825,0.05
0.2168,0.2,0.225,0.425,0.625,0.675,0.8,0.15
0.2172,0.075,0.4,0.45,0.55,0.575,0.65,0.075
0.2176,0.025,0.1,0.35,0.4,0.65,0.725,0.25
0.218,0.05,0.075,0.225,0.55,0.6,0.675,0.275
0.2184,0.075,0.2,0.325,0.5,0.725,0.75,0.275
0.2188,0.15,0.2,0.225,0.275,0.475,0.525,0.25
0.2192,0.075,0.4,0.525,0.55,0.675,0.75,0.1
0.2196,0.1,0.15,0.25,0.3,0.475,0.775,0.025
0.22,0.1,0.2,0.4,0.6,0.75,0.8,0.4
0.2204,0.075,0.1,0.275,0.425,0.45,0.7,0.225
0.2208,0.05,0.225,0.3,0.35,0.575,0.625,0.4
0.2212,0.025,0.1,0.2,0.3,0.725,0.775,0.15
0.2216,0.075,0.35,0.525,0.575,0.75,0.775,0.25
0.222,0.25,0.275,0.4,0.575,0.775,0.825,0.4
0.2224,0.075,0.275,0.35,0.475,0.525,0.75,0.125
0.2228,0.15,0.175,0.475,0.6,0.675,0.725,0.025
0.2232,0.325,0.35,0.375,0.475,0.6,0.75,0.25
0.2236,0.025,0.075,0.225,0.275,0.65,0.775,0.3
0.224,0.075,0.325,0.4,0.475,0.8,0.825,0.2
0.2244,0.075,0.2,0.25,0.275,0.35,0.75,0.125
0.2248,0.225,0.325,0.5,0.525,0.6,0.8,0.2
0.2252,0.025,0.3,0.45,0.525,0.7,0.75,0.25
0.2256,0.05,0.15,0.175,0.225,0.475,0.65,0.35
0.226,0.05,0.1,0.4,0.45,0.575,0.75,0.15
0.2264,0.05,0.275,0.3,0.375,0.425,0.7,0.3
0.2268,0.1,0.35,0.45,0.475,0.775,0.825,0.05
0.2272,0.025,0.125,0.2,0.325,0.45,0.625,0.05
0.2276,0.075,0.35,0.4,0.65,0.675,0.825,0.325
0.228,0.05,0.075,0.175,0.2,0.65,0.725,0.175
0.2284,0.25,0.325,0.4,0.425,0.45,0.675,0.275
0.2288,0.025,0.075,0.4,0.45,0.575,0.7,0.125
0.2292,0.05,0.15,0.275,0.55,0.7,0.725,0.05
0.2296,0.35,0.425,0.525,0.725,0.775,0.8,0.3
0.23,0.125,0.275,0.45,0.475,0.5,0.525,0.225
0.2304,0.175,0.2,0.25,0.325,0.625,0.675,0.175
0.2308,0.025,0.075,0.1,0.15,0.175,0.725,0.35
0.2312,0.025,0.05,0.2,0.4,0.475,0.725,0.125
0.2316,0.025,0.15,0.175,0.275,0.5,0.575,0.125
0.232,0.2,0.425,0.5,0.725,0.75,0.825,0.225
0.2324,0.25,0.375,0.425,0.6,0.65,0.7,0.3
0.2328,0.05,0.15,0.225,0.4,0.525,0.575,0.4
0.2332,0.1,0.175,0.475,0.525,0.625,0.775,0.175
0.2336,0.125,0.275,0.4,0.6,0.8,0.825,0.2
0.234,0.15,0.275,0.325,0.425,0.525,0.575,0.275
0.2344,0.275,0.45,0.475,0.55,0.575,0.7,0.025
0.2348,0.075,0.1,0.275,0.3,0.35,0.8,0.3
0.2352,0.15,0.2,0.375,0.425,0.45,0.75,0.3
0.2356,0.025,0.15,0.35,0.525,0.75,0.775,0.225
0.236,0.05,0.1,0.2,0.325,0.35,0.825,0.4
0.2364,0.125,0.225,0.275,0.475,0.7,0.775,0.05
0.2368,0.2,0.325,0.375,0.625,0.675,0.7,0.075
0.2372,0.325,0.4,0.425,0.55,0.75,0.8,0.075
0.2376,0.15,0.3,0.375,0.4,0.5,0.775,0.05
0.238,0.15,0.2,0.35,0.525,0.7,0.725,0.05
0.2384,0.1,0.15,0.175,0.575,0.625,0.8,0.025
0.2388,0.075,0.1,0.35,0.5,0.525,0.625,0.35
0.2392,0.025,0.2,0.4,0.45,0.475,0.725,0.1
0.2396,0.225,0.35,0.375,0.475,0.6,0.825,0.325
0.24,0.125,0.375,0.425,0.45,0.625,0.8,0.375
0.2404,0.275,0.35,0.45,0.5,0.525,0.65,0.125
0.2408,0.15,0.25,0.3,0.35,0.5,0.675,0.25
0.2412,0.05,0.3,0.425,0.475,0.725,0.75,0.3
0.2416,0.125,0.2,0.35,0.55,0.675,0.725,0.4
0.242,0.025,0.075,0.1,0.125,0.2,0.525,0.225
0.2424,0.05,0.1,0.25,0.7,0.725,0.825,0.15
0.2428,0.075,0.175,0.2,0.375,0.475,0.7,0.075
0.2432,0.125,0.275,0.325,0.675,0.75,0.775,0.05
0.2436,0.05,0.275,0.425,0.75,0.775,0.8,0.175
0.244,0.35,0.45,0.55,0.575,0.6,0.825,0.225
0.2444,0.125,0.25,0.325,0.375,0.475,0.725,0.05
0.2448,0.075,0.125,0.45,0.475,0.6,0.8,0.05
0.2452,0.025,0.15,0.2,0.45,0.725,0.8,0.175
0.2456,0.225,0.25,0.5,0.55,0.75,0.8,0.2
0.246,0.1,0.2,0.325,0.45,0.65,0.75,0.275
0.2464,0.05,0.075,0.125,0.275,0.475,0.5,0.3
0.2468,0.075,0.1,0.35,0.675,0.775,0.825,0.125
0.2472,0.2,0.45,0.675,0.725,0.75,0.8,0.15
0.2476,0.375,0.4,0.45,0.525,0.55,0.75,0.35
0.248,0.1,0.15,0.2,0.45,0.5,0.825,0.275
0.2484,0.175,0.225,0.625,0.675,0.75,0.8,0.025
0.2488,0.05,0.2,0.3,0.35,0.5,0.8,0.1
0.2492,0.05,0.175,0.25,0.425,0.575,0.725,0.35
0.2496,0.3,0.45,0.525,0.6,0.625,0.725,0.2
0.25,0.05,0.2,0.225,0.45,0.6,0.7,0.25
0.2504,0.075,0.175,0.3,0.325,0.5,0.825,0.05
0.2508,0.025,0.1,0.175,0.2,0.325,0.35,0.1
0.2512,0.05,0.1,0.175,0.375,0.6,0.7,0.075
0.2516,0.05,0.225,0.25,0.3,0.325,0.425,0.275
0.252,0.175,0.275,0.35,0.4,0.625,0.8,0.275
0.2524,0.1,0.45,0.575,0.625,0.65,0.775,0.25
0.2528,0.125,0.3,0.375,0.6,0.675,0.825,0.125
0.2532,0.025,0.125,0.25,0.4,0.5,0.65,0.05
0.2536,0.075,0.125,0.175,0.275,0.425,0.675,0.325
0.254,0.075,0.175,0.225,0.25,0.65,0.8,0.025
0.2544,0.1,0.25,0.4,0.45,0.625,0.8,0.375
0.2548,0.075,0.2,0.275,0.325,0.625,0.775,0.3
0.2552,0.15,0.175,0.275,0.3,0.45,0.625,0.025
0.2556,0.075,0.25,0.525,0.55,0.675,0.7,0.15
0.256,0.1,0.175,0.475,0.6,0.65,0.8,0.225
0.2564,0.025,0.325,0.375,0.575,0.7,0.8,0.05
0.2568,0.075,0.175,0.325,0.4,0.475,0.8,0.4
0.2572,0.075,0.125,0.45,0.5,0.675,0.825,0.025
0.2576,0.225,0.25,0.475,0.575,0.65,0.775,0.225
0.258,0.15,0.225,0.325,0.4,0.6,0.7,0.275
0.2584,0.225,0.25,0.475,0.525,0.675,0.775,0.125
0.2588,0.125,0.175,0.5,0.525,0.55,0.75,0.2
0.2592,0.075,0.125,0.225,0.275,0.675,0.775,0.1
0.2596,0.075,0.125,0.175,0.4,0.55,0.675,0.125
0.26,0.025,0.225,0.4,0.525,0.55,0.575,0.125
0.2604,0.075,0.15,0.175,0.275,0.325,0.825,0.25
0.2608,0.025,0.1,0.25,0.325,0.45,0.625,0.375
0.2612,0.025,0.275,0.4,0.65,0.775,0.825,0.4
0.2616,0.025,0.05,0.45,0.525,0.625,0.725,0.35
0.262,0.075,0.175,0.2,0.45,0.5,0.55,0.075
0.2624,0.05,0.075,0.375,0.425,0.475,0.625,0.4
0.2628,0.15,0.25,0.3,0.35,0.4,0.55,0.15
0.2632,0.025,0.125,0.4,0.525,0.55,0.65,0.275
0.2636,0.05,0.075,0.1,0.15,0.425,0.775,0.2
0.264,0.275,0.5,0.625,0.65,0.675,0.75,0.2
0.2644,0.025,0.15,0.55,0.575,0.6,0.65,0.1
0.2648,0.2,0.35,0.575,0.625,0.7,0.8,0.4
0.2652,0.2,0.225,0.275,0.3,0.625,0.775,0.275
0.2656,0.1,0.45,0.55,0.6,0.65,0.75,0.225
0.266,0.075,0.175,0.45,0.6,0.65,0.675,0.1
0.2664,0.075,0.225,0.4,0.425,0.575,0.7,0.175
0.2668,0.025,0.425,0.475,0.55,0.7,0.75,0.075
0.2672,0.075,0.125,0.275,0.325,0.475,0.6,0.125
0.2676,0.025,0.15,0.25,0.275,0.575,0.625,0.05
0.268,0.275,0.425,0.525,0.725,0.75,0.825,0.2
0.2684,0.025,0.1,0.475,0.5,0.625,0.775,0.375
0.2688,0.05,0.1,0.175,0.225,0.35,0.725,0.075
0.2692,0.075,0.1,0.45,0.55,0.625,0.725,0.225
0.2696,0.15,0.2,0.275,0.325,0.425,0.475,0.3
0.27,0.1,0.2,0.55,0.575,0.675,0.725,0.2
0.2704,0.075,0.125,0.375,0.55,0.6,0.625,0.375
0.2708,0.025,0.35,0.4,0.45,0.55,0.675,0.35
0.2712,0.025,0.325,0.425,0.55,0.575,0.75,0.275
0.2716,0.05,0.375,0.4,0.575,0.65,0.675,0.175
0.272,0.225,0.525,0.725,0.75,0.775,0.8,0.4
0.2724,0.075,0.2,0.275,0.425,0.525,0.675,0.225
0.2728,0.05,0.35,0.425,0.525,0.75,0.8,0.075
0.2732,0.075,0.1,0.125,0.4,0.5,0.75,0.325
0.2736,0.05,0.2,0.375,0.4,0.55,0.7,0.25
0.274,0.075,0.225,0.275,0.425,0.525,0.775,0.35
0.2744,0.15,0.2,0.275,0.4,0.725,0.825,0.075
0.2748,0.075,0.3,0.35,0.525,0.725,0.825,0.325
0.2752,0.05,0.125,0.175,0.425,0.5,0.55,0.05
0.2756,0.05,0.125,0.15,0.575,0.65,0.825,0.325
0.276,0.05,0.225,0.275,0.425,0.675,0.775,0.125
0.2764,0.075,0.25,0.325,0.375,0.7,0.75,0.075
0.2768,0.225,0.3,0.475,0.5,0.65,0.7,0.375
0.2772,0.3,0.45,0.5,0.6,0.7,0.8,0.125
0.2776,0.2,0.4,0.45,0.625,0.65,0.8,0.05
0.278,0.275,0.5,0.525,0.65,0.7,0.75,0.325
0.2784,0.2,0.4,0.425,0.45,0.475,0.525,0.35
0.2788,0.125,0.425,0.475,0.675,0.725,0.8,0.075
0.2792,0.375,0.45,0.475,0.575,0.6,0.65,0.325
0.2796,0.025,0.325,0.525,0.65,0.725,0.8,0.25
0.28,0.025,0.225,0.35,0.55,0.725,0.8,0.3
0.2804,0.15,0.375,0.45,0.475,0.5,0.7,0.275
0.2808,0.075,0.15,0.275,0.375,0.525,0.775,0.325
0.2812,0.125,0.35,0.4,0.525,0.575,0.7,0.325
0.2816,0.3,0.425,0.45,0.75,0.775,0.825,0.1
0.282,0.075,0.125,0.225,0.275,0.525,0.725,0.225
0.2824,0.175,0.275,0.35,0.425,0.45,0.725,0.4
0.2828,0.05,0.15,0.325,0.45,0.575,0.7,0.4
0.2832,0.025,0.3,0.55,0.6,0.7,0.775,0.15
0.2836,0.075,0.225,0.25,0.275,0.375,0.475,0.325
0.284,0.025,0.175,0.25,0.325,0.55,0.725,0.025
0.2844,0.15,0.325,0.55,0.625,0.675,0.7,0.225
0.2848,0.2,0.275,0.5,0.55,0.575,0.675,0.1
0.2852,0.075,0.1,0.225,0.275,0.3,0.6,0.025
0.2856,0.075,0.25,0.4,0.55,0.675,0.825,0.35
0.286,0.125,0.175,0.225,0.5,0.65,0.725,0.225
0.2864,0.025,0.25,0.325,0.525,0.725,0.8,0.1
0.2868,0.375,0.4,0.45,0.6,0.7,0.825,0.375
0.2872,0.225,0.3,0.325,0.35,0.5,0.55,0.25
0.2876,0.275,0.45,0.525,0.675,0.75,0.8,0.025
0.288,0.075,0.25,0.3,0.325,0.475,0.625,0.1
0.2884,0.025,0.275,0.475,0.6,0.65,0.675,0.075
0.2888,0.025,0.1,0.2,0.25,0.325,0.825,0.275
0.2892,0.05,0.25,0.425,0.575,0.725,0.775,0.25
0.2896,0.15,0.3,0.475,0.5,0.525,0.675,0.1
0.29,0.05,0.15,0.4,0.425,0.5,0.625,0.175
0.2904,0.275,0.4,0.475,0.575,0.65,0.775,0.1
0.2908,0.2,0.325,0.55,0.575,0.625,0.75,0.175
0.2912,0.475,0.5,0.525,0.65,0.7,0.75,0.2
0.2916,0.025,0.3,0.525,0.675,0.725,0.775,0.275
0.292,0.05,0.15,0.375,0.725,0.775,0.8,0.4
0.2924,0.15,0.175,0.2,0.425,0.75,0.8,0.075
0.2928,0.025,0.05,0.125,0.3,0.65,0.775,0.15
0.2932,0.15,0.2,0.325,0.425,0.6,0.675,0.375
0.2936,0.125,0.225,0.275,0.35,0.4,0.425,0.375
0.294,0.025,0.05,0.175,0.225,0.3,0.45,0.3
0.2944,0.125,0.325,0.375,0.475,0.75,0.775,0.125
0.2948,0.175,0.3,0.525,0.55,0.725,0.75,0.2
0.2952,0.25,0.275,0.375,0.475,0.65,0.825,0.325
0.2956,0.125,0.175,0.425,0.575,0.675,0.725,0.175
0.296,0.125,0.2,0.425,0.5,0.65,0.75,0.25
0.2964,0.125,0.15,0.3,0.375,0.45,0.825,0.325
0.2968,0.025,0.15,0.525,0.65,0.675,0.7,0.225
0.2972,0.025,0.125,0.25,0.45,0.55,0.75,0.225
0.2976,0.025,0.225,0.325,0.55,0.7,0.825,0.2
0.298,0.025,0.275,0.375,0.475,0.5,0.6,0.225
0.2984,0.025,0.2,0.35,0.45,0.55,0.75,0.075
0.2988,0.05,0.125,0.175,0.275,0.325,0.45,0.275
0.2992,0.1,0.3,0.55,0.65,0.75,0.825,0.225
0.2996,0.15,0.325,0.4,0.65,0.75,0.825,0.025
0.3,0.075,0.1,0.125,0.25,0.5,0.8,0.225
0.3004,0.1,0.35,0.55,0.625,0.725,0.8,0.35
0.3008,0.05,0.3,0.325,0.45,0.625,0.775,0.1
0.3012,0.1,0.2,0.25,0.3,0.525,0.65,0.225
0.3016,0.175,0.2,0.225,0.45,0.725,0.8,0.225
0.302,0.1,0.175,0.325,0.5,0.725,0.75,0.4
0.3024,0.025,0.1,0.3,0.5,0.6,0.725,0.375
0.3028,0.1,0.125,0.25,0.65,0.675,0.75,0.3
0.3032,0.025,0.175,0.65,0.725,0.75,0.775,0.15
0.3036,0.025,0.15,0.2,0.4,0.425,0.575,0.125
0.304,0.075,0.15,0.275,0.4,0.55,0.675,0.275
0.3044,0.05,0.175,0.35,0.45,0.475,0.6,0.025
0.3048,0.075,0.3,0.35,0.575,0.775,0.8,0.25
0.3052,0.025,0.075,0.45,0.675,0.7,0.75,0.125
0.3056,0.1,0.25,0.3,0.4,0.65,0.7,0.175
0.306,0.025,0.1,0.375,0.4,0.575,0.7,0.35
0.3064,0.075,0.2,0.35,0.525,0.7,0.725,0.075
0.3068,0.15,0.2,0.3,0.6,0.675,0.775,0.35
0.3072,0.075,0.15,0.2,0.225,0.4,0.425,0.325
0.3076,0.15,0.175,0.25,0.275,0.375,0.75,0.025
0.308,0.25,0.375,0.4,0.55,0.575,0.6,0.175
0.3084,0.2,0.35,0.425,0.525,0.675,0.7,0.35
0.3088,0.225,0.425,0.525,0.65,0.7,0.75,0.1
0.3092,0.075,0.175,0.3,0.525,0.625,0.8,0.125
0.3096,0.025,0.3,0.4,0.45,0.55,0.825,0.1
0.31,0.075,0.15,0.2,0.425,0.6,0.775,0.025
0.3104,0.125,0.425,0.475,0.675,0.7,0.8,0.05
0.3108,0.35,0.475,0.625,0.675,0.725,0.75,0.375
0.3112,0.15,0.325,0.45,0.55,0.675,0.8,0.1
0.3116,0.225,0.25,0.375,0.425,0.575,0.75,0.3
0.312,0.1,0.175,0.225,0.4,0.525,0.7,0.25
0.3124,0.25,0.4,0.55,0.575,0.725,0.775,0.05
0.3128,0.425,0.45,0.525,0.625,0.775,0.8,0.15
0.3132,0.125,0.325,0.35,0.475,0.55,0.575,0.15
0.3136,0.15,0.225,0.25,0.3,0.425,0.55,0.225
0.314,0.1,0.225,0.5,0.6,0.625,0.775,0.35
0.3144,0.05,0.3,0.325,0.35,0.425,0.45,0.15
0.3148,0.075,0.175,0.525,0.55,0.6,0.725,0.35
0.3152,0.075,0.125,0.175,0.25,0.35,0.825,0.175
0.3156,0.1,0.225,0.4,0.675,0.775,0.825,0.025
0.316,0.125,0.175,0.225,0.375,0.6,0.725,0.175
0.3164,0.25,0.275,0.55,0.6,0.65,0.825,0.05
0.3168,0.05,0.55,0.575,0.675,0.775,0.8,0.15
0.3172,0.05,0.2,0.275,0.35,0.475,0.65,0.375
0.3176,0.25,0.275,0.375,0.4,0.625,0.725,0.05
0.318,0.025,0.175,0.25,0.325,0.525,0.55,0.075
0.3184,0.25,0.275,0.3,0.375,0.65,0.725,0.225
0.3188,0.1,0.275,0.3,0.35,0.5,0.75,0.325
0.3192,0.125,0.2,0.475,0.55,0.675,0.75,0.325
0.3196,0.025,0.125,0.475,0.5,0.675,0.825,0.125
0.32,0.025,0.075,0.45,0.6,0.625,0.8,0.375
0.3204,0.025,0.3,0.45,0.7,0.75,0.8,0.15
0.3208,0.05,0.3,0.375,0.45,0.55,0.8,0.2
0.3212,0.225,0.325,0.4,0.625,0.675,0.825,0.2
0.3216,0.2,0.275,0.4,0.475,0.6,0.65,0.275
0.322,0.25,0.375,0.475,0.5,0.7,0.8,0.05
0.3224,0.125,0.35,0.375,0.4,0.475,0.525,0.375
0.3228,0.125,0.225,0.25,0.3,0.45,0.7,0.05
0.3232,0.025,0.1,0.6,0.7,0.725,0.825,0.225
0.3236,0.175,0.35,0.475,0.575,0.625,0.8,0.1
0.324,0.2,0.225,0.475,0.575,0.625,0.65,0.175
0.3244,0.175,0.35,0.4,0.725,0.75,0.775,0.35
0.3248,0.075,0.325,0.5,0.625,0.725,0.825,0.375
0.3252,0.125,0.15,0.25,0.325,0.425,0.7,0.375
0.3256,0.3,0.425,0.45,0.475,0.65,0.675,0.15
0.326,0.05,0.125,0.25,0.675,0.725,0.825,0.375
0.3264,0.175,0.325,0.45,0.55,0.65,0.725,0.05
0.3268,0.175,0.2,0.425,0.475,0.775,0.8,0.25
0.3272,0.175,0.2,0.35,0.55,0.65,0.825,0.05
0.3276,0.075,0.125,0.225,0.55,0.65,0.7,0.225
0.328,0.25,0.35,0.55,0.7,0.725,0.825,0.05
0.3284,0.1,0.475,0.55,0.6,0.725,0.8,0.05
0.3288,0.15,0.2,0.25,0.35,0.425,0.475,0.15
0.3292,0.025,0.1,0.15,0.55,0.65,0.75,0.2
0.3296,0.025,0.1,0.45,0.525,0.6,0.75,0.4
0.33,0.05,0.125,0.175,0.525,0.55,0.65,0.2
0.3304,0.1,0.525,0.575,0.6,0.75,0.775,0.1
0.3308,0.25,0.35,0.425,0.625,0.725,0.825,0.35
0.3312,0.05,0.075,0.15,0.375,0.625,0.75,0.05
0.3316,0.075,0.275,0.325,0.425,0.7,0.775,0.075
0.332,0.025,0.075,0.2,0.375,0.425,0.525,0.325
0.3324,0.15,0.3,0.45,0.5,0.65,0.825,0.05
0.3328,0.025,0.125,0.3,0.575,0.625,0.65,0.375
0.3332,0.1,0.375,0.4,0.55,0.8,0.825,0.05
0.3336,0.2,0.375,0.525,0.75,0.775,0.825,0.05
0.334,0.075,0.25,0.425,0.475,0.5,0.6,0.05
0.3344,0.05,0.1,0.325,0.35,0.45,0.575,0.375
0.3348,0.125,0.275,0.35,0.425,0.45,0.7,0.025
0.3352,0.1,0.2,0.225,0.525,0.65,0.675,0.225
0.3356,0.075,0.15,0.225,0.35,0.375,0.45,0.05
0.336,0.05,0.1,0.15,0.375,0.425,0.8,0.125
0.3364,0.05,0.175,0.325,0.4,0.5,0.825,0.075
0.3368,0.15,0.35,0.375,0.475,0.625,0.65,0.2
0.3372,0.05,0.125,0.15,0.475,0.675,0.75,0.375
0.3376,0.15,0.425,0.475,0.5,0.65,0.675,0.1
0.338,0.075,0.125,0.175,0.25,0.475,0.575,0.325
